Hour,Buyer/Seller,Gmin [Wh],Gmax [Wh],Dmin [Wh],Dmax [Wh],w,z
26,3,0,0,0,3010,1,3
27,3,0,0,0,3192,2,3
28,3,0,0,0,3312,1,3
29,3,0,0,0,3084,2,3
30,3,0,0,0,3637,2,3
31,3,0,0,0,1409,2,3
32,3,0,0,0,3975,3,3
33,3,0,0,0,2320,3,3
34,3,0,0,0,2174,3,3
35,3,0,0,0,1845,3,3
36,3,0,0,0,1823,1,3
37,3,0,0,0,1242,1,3
38,3,0,0,0,1442,2,3
39,3,0,0,0,1468,1,3
40,3,0,0,0,1530,4,3
41,3,0,0,0,1023,1,3
42,3,0,0,0,943,2,3
43,3,0,0,0,755,2,3
44,3,0,0,0,646,2,3
45,3,0,0,0,755,4,3
46,3,0,0,0,647,3,3
47,3,0,0,0,606,4,3
48,3,0,0,0,1098,4,3
49,3,0,0,0,1609,1,3
50,3,0,0,0,1390,3,3
51,3,0,0,0,2481,2,3
52,3,0,0,0,3395,3,3
53,3,0,0,0,2816,3,3
54,3,0,0,0,2228,3,3
55,3,0,0,0,2571,4,3
56,3,0,0,0,3314,1,3
57,3,0,0,0,2912,1,3
58,3,0,0,0,2278,4,3
59,3,0,0,0,1265,3,3
60,3,0,0,0,1616,1,3
61,3,0,0,0,1341,1,3
62,3,0,0,0,981,1,3
63,3,0,0,0,1762,4,3
64,3,0,0,0,1446,1,3
65,3,0,0,0,1084,3,3
66,3,0,0,0,824,3,3
67,3,0,0,0,865,2,3
68,3,0,0,0,707,1,3
69,3,0,0,0,750,4,3
70,3,0,0,0,639,3,3
71,3,0,0,0,598,2,3
72,3,0,0,0,1110,4,3
73,3,0,0,0,1336,1,3
74,3,0,0,0,1622,1,3
75,3,0,0,0,2486,3,3
76,3,0,0,0,3258,4,3
77,3,0,0,0,3415,3,3
78,3,0,0,0,1562,4,3
79,3,0,0,0,1066,1,3
80,3,0,0,0,1065,4,3
81,3,0,0,0,915,4,3
82,3,0,0,0,33,2,3
83,3,0,0,0,34,2,3
84,3,0,0,0,34,4,3
85,3,0,0,0,36,3,3
86,3,0,0,0,36,4,3
87,3,0,0,0,35,2,3
88,3,0,0,0,34,1,3
89,3,0,0,0,34,1,3
90,3,0,0,0,35,4,3
91,3,0,0,0,35,4,3
92,3,0,0,0,35,3,3
93,3,0,0,0,177,1,3
94,3,0,0,0,71,2,3
95,3,0,0,0,36,2,3
96,3,0,0,0,567,4,3
97,3,0,0,0,1072,2,3
98,3,0,0,0,1069,2,3
99,3,0,0,0,1890,1,3
100,3,0,0,0,2549,4,3
101,3,0,0,0,1950,3,3
102,3,0,0,0,4145,2,3
103,3,0,0,0,3835,3,3
104,3,0,0,0,3298,2,3
105,3,0,0,0,3274,1,3
106,3,0,0,0,3512,2,3
107,3,0,0,0,3205,2,3
108,3,0,0,0,1408,1,3
109,3,0,0,0,1464,4,3
110,3,0,0,0,1991,1,3
111,3,0,0,0,1919,3,3
112,3,0,0,0,1108,1,3
113,3,0,0,0,1214,1,3
114,3,0,0,0,821,4,3
115,3,0,0,0,913,3,3
116,3,0,0,0,653,4,3
117,3,0,0,0,745,4,3
118,3,0,0,0,629,1,3
119,3,0,0,0,427,2,3
120,3,0,0,0,1002,2,3
121,3,0,0,0,1605,1,3
122,3,0,0,0,1614,2,3
123,3,0,0,0,2179,2,3
124,3,0,0,0,3292,4,3
125,3,0,0,0,2809,4,3
126,3,0,0,0,2592,4,3
127,3,0,0,0,2781,4,3
128,3,0,0,0,2991,2,3
129,3,0,0,0,3085,1,3
130,3,0,0,0,2215,4,3
131,3,0,0,0,2276,3,3
132,3,0,0,0,1817,4,3
133,3,0,0,0,1583,1,3
134,3,0,0,0,1362,4,3
135,3,0,0,0,1084,1,3
136,3,0,0,0,952,4,3
137,3,0,0,0,753,4,3
138,3,0,0,0,648,1,3
139,3,0,0,0,621,1,3
140,3,0,0,0,615,2,3
141,3,0,0,0,733,4,3
142,3,0,0,0,598,2,3
143,3,0,0,0,294,1,3
144,3,0,0,0,1081,3,3
145,3,0,0,0,1330,1,3
146,3,0,0,0,1606,2,3
147,3,0,0,0,2192,3,3
148,3,0,0,0,3397,1,3
149,3,0,0,0,2688,2,3
150,3,0,0,0,1586,1,3
151,3,0,0,0,1374,1,3
152,3,0,0,0,2044,4,3
153,3,0,0,0,2049,1,3
154,3,0,0,0,1584,2,3
155,3,0,0,0,3298,2,3
156,3,0,0,0,2670,4,3
157,3,0,0,0,1052,2,3
158,3,0,0,0,1712,1,3
159,3,0,0,0,1416,4,3
160,3,0,0,0,1468,4,3
161,3,0,0,0,1137,1,3
162,3,0,0,0,991,3,3
163,3,0,0,0,743,1,3
164,3,0,0,0,662,1,3
165,3,0,0,0,588,4,3
166,3,0,0,0,449,1,3
167,3,0,0,0,533,2,3
168,3,0,0,0,787,1,3
169,3,0,0,0,1062,1,3
1,4,0,78,0,702,1,2
2,4,0,202,0,923,3,2
3,4,0,502,0,954,3,2
4,4,0,1085,0,1189,3,2
5,4,0,1513,0,1285,1,2
6,4,0,1527,0,1548,2,2
7,4,0,916,0,1705,4,2
8,4,0,1158,0,1794,2,2
9,4,0,1527,0,3553,3,2
10,4,0,591,0,3688,1,2
11,4,0,117,0,2626,4,2
12,4,0,0,0,2304,1,2
13,4,0,0,0,1738,2,2
14,4,0,0,0,1334,2,2
15,4,0,0,0,1344,4,2
16,4,0,0,0,1854,4,2
17,4,0,0,0,1361,4,2
18,4,0,0,0,1347,1,2
19,4,0,0,0,1342,2,2
20,4,0,0,0,1157,1,2
21,4,0,0,0,971,1,2
22,4,0,0,0,1069,1,2
23,4,0,0,0,1066,1,2
24,4,0,3,0,1005,1,2
25,4,0,154,0,794,2,2
26,4,0,381,0,1090,3,2
27,4,0,709,0,1334,2,2
28,4,0,1075,0,1153,3,2
29,4,0,1618,0,1277,3,2
30,4,0,1770,0,1445,2,2
